Opening Type,Result,White Elo,Black Elo,Move List,Variation
Danish Gambit,1-0,1629,1635,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'f8b4', 'b1c3', 'b4c3', 'b2c3', 'd8e7', 'g1f3', 'e7e4', 'c4e2', 'g8f6', 'f3g5', 'e4e7', 'e1g1', 'h7h6', 'f1e1', 'd7d6', 'e2h5', 'c8e6', 'h5f7', 'e6f7', 'e1e7', 'e8e7', 'g5f7', 'e7f7', 'd1f3', 'b8d7', 'f3b7', 'h8c8', 'c1d2', 'd7c5', 'b7f3', 'a8b8', 'g2g3', 'b8b2', 'f3d1', 'c5e4', 'd2e3', 'c8b8', 'e3a7', 'b8b7', 'a7d4', 'e4f2', 'd4f2', 'f6e4', 'f2d4', 'b2d2', 'd1f3', 'f7g8', 'f3e4', 'b7b2', 'e4h1', 'd2e2', 'a2a4', 'b2c2', 'a4a5', 'c2a2', 'a1a2', 'e2a2', 'h1d5']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Bb4']"
Danish Gambit,1/2-1/2,1683,1684,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'd7d6', 'g1f3', 'h7h6', 'e1g1', 'd8e7', 'e4e5', 'c8e6', 'e5d6', 'c7d6', 'c4b5', 'b8c6', 'b1c3', 'g8f6', 'b5c6', 'b7c6', 'd1a4', 'e7d7', 'f1e1', 'f8e7', 'f3d4', 'e8g8', 'd4e6', 'f7e6', 'c3e4', 'f6e4', 'e1e4', 'd6d5', 'e4e1', 'e7f6', 'a4g4', 'f8e8', 'c1h6', 'd7f7', 'h6g5', 'f6g5', 'g4g5', 'a8d8', 'e1e3', 'd8d7', 'e3h3', 'f7f6', 'g5h5', 'g8f8', 'h5h8', 'f8e7', 'h8h5', 'd7d8', 'h3f3', 'f6h6', 'h5f7', 'e7d6', 'f7f4', 'h6f4', 'f3f4', 'e6e5', 'f4f7', 'd8d7', 'f7f3', 'g7g5', 'f3g3', 'e8g8', 'f2f3', 'd5d4', 'b2b4', 'c6c5', 'b4c5', 'd6c5', 'a1c1', 'c5d5', 'c1d1', 'a7a5', 'g3g4', 'd7f7', 'h2h4', 'f7f4', 'g4g3', 'f4f5', 'g3g4', 'f5f4', 'g4g3', 'f4f5', 'g3g4', 'f5f4']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
"Danish Gambit Declined, Sorensen Defense",1-0,1756,1765,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd7d5', 'g1f3', 'd4c3', 'f3e5', 'd5d4', 'e5f7', 'e8f7', 'b1c3', 'f8b4', 'd1b3', 'c8e6', 'b3b4', 'd4c3', 'b4c3', 'g8f6', 'e4e5', 'f6d5', 'c3f3', 'f7e7', 'c1g5', 'e7d7', 'g5d8']",['Danish Gambit Declined: Sorensen Defense']
Danish Gambit,1-0,1127,1188,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'b1c3', 'g8f6', 'f1c4', 'f8c5', 'c1g5', 'd7d6', 'g1f3', 'b8c6', 'e1g1', 'c8e6', 'c4e6', 'f7e6', 'f1e1', 'e6e5', 'c3d5', 'e8g8', 'g5f6', 'g7f6', 'd1d2', 'a7a5', 'd2h6', 'c5b4', 'e1f1', 'c6d4', 'f3h4', 'd4c2', 'a1d1', 'c7c6', 'h4g6', 'f8f7', 'g6e7', 'f7e7', 'd5e7', 'd8e7', 'h6h4', 'd6d5', 'h4g3', 'g8h8', 'e4d5', 'c6d5', 'd1d5', 'e7e6', 'f1d1']","['Danish Gambit Accepted', 'Take Back Gambit']"
"Danish Gambit Accepted, Copenhagen Defense",1-0,1919,1896,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'f8b4', 'e1f1', 'd8g5', 'g1f3', 'g5h6', 'd1b3', 'b8c6', 'c4f7', 'e8f8', 'f7d5', 'g8e7', 'd5c4', 'a7a6', 'b1c3', 'b7b5', 'c4d3', 'd7d6', 'c3d5', 'c8e6', 'a1c1', 'b4c5', 'a2a4', 'e6d5', 'e4d5', 'c6a5', 'b3c3', 'b5b4', 'c3c2', 'a8e8', 'h2h4', 'h6f4', 'h1h3', 'e7g6', 'h3g3', 'b4b3', 'c2c3', 'e8e7', 'c3a5', 'g6h4', 'a5a6', 'h4f3', 'g2f3', 'h7h5', 'a6c8', 'f8f7', 'g3g7']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit', 'Copenhagen Defense']"
"Danish Gambit Declined, Sorensen Defense",1-0,1942,1861,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd7d5', 'e4d5', 'd8d6', 'd1d4', 'g8f6', 'c3c4', 'b8c6', 'd4d1', 'd6b4', 'b1c3', 'c6e5', 'a2a3', 'b4b6', 'b2b3', 'f8d6', 'c1e3', 'd6c5', 'c3a4', 'b6a5', 'b3b4', 'c5b4', 'a3b4', 'a5b4', 'e3d2', 'b4d6', 'a4c3', 'e8g8', 'f1e2', 'f8e8', 'a1b1', 'e5d3', 'e1f1', 'd3c5', 'd2e3', 'f6e4', 'c3b5', 'd6d7', 'g1f3', 'a7a6', 'b5d4', 'f7f5', 'd1c2', 'b7b6', 'f3h4', 'g7g6', 'e2f3', 'd7e7', 'g2g3', 'e4f2', 'e3f2', 'f5f4', 'd4c6', 'c8h3', 'h4g2', 'e7f6', 'b1d1', 'e8e5', 'c6e5', 'f6e5', 'd5d6', 'a8d8', 'd6c7', 'd8d1', 'c2d1', 'e5c7', 'f1g1', 'f4g3', 'h2g3', 'c7g3', 'f2g3']",['Danish Gambit Declined: Sorensen Defense']
Danish Gambit,1-0,2055,2041,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd7d6', 'f1c4', 'g8f6', 'c3d4', 'f8e7', 'b1c3', 'e8g8', 'h2h3', 'a7a5', 'a2a4', 'c7c6', 'g1f3', 'b8d7', 'e1g1', 'h7h6', 'f1e1', 'f6h7', 'c1f4', 'h7g5', 'd1e2', 'd6d5', 'e4d5', 'c6d5', 'c3d5', 'g5f3', 'e2f3', 'e7f6', 'f4c7', 'd7e5', 'd4e5', 'd8d7', 'e5f6', 'g7g5', 'a1d1', 'd7f5', 'd5e7', 'g8h7', 'e7f5', 'h7g6', 'f5e7', 'g6h7', 'c4d3', 'h7h8', 'f3h5', 'c8g4', 'h5h6']",['Others B1']
Danish Gambit,1-0,1184,1130,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'g1f3', 'f8b4', 'b2c3', 'b4a5', 'c1a3', 'g8f6', 'f1c4', 'f6e4', 'e1g1', 'd7d6', 'd1a4', 'b8c6', 'c4d5', 'e4c5', 'd5c6', 'b7c6', 'a3c5', 'd6c5', 'a4a5', 'e8g8', 'a5c5', 'c8g4', 'b1d2', 'g4f3', 'd2f3', 'd8f6', 'a1d1', 'a8d8', 'd1d8', 'f6d8', 'c5c6', 'a7a5', 'c6c5', 'a5a4', 'c5a5', 'd8e7', 'a5a4', 'e7d8', 'a4c2', 'f8e8', 'a2a4', 'd8d7', 'a4a5', 'e8d8', 'a5a6', 'd7d1', 'f1d1', 'd8d1', 'c2d1', 'g7g5', 'a6a7', 'f7f6', 'a7a8q', 'g8g7', 'd1d7', 'g7g6', 'd7c7', 'f6f5', 'a8c6', 'g6h5', 'c7g3', 'g5g4', 'g3h4']","['Danish Gambit Accepted', 'Others W1']"
Danish Gambit,0-1,1683,1781,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'd7d6', 'b1c3', 'g8f6', 'd1b3', 'd8e7', 'c1g5', 'h7h6', 'g5f6', 'e7f6', 'c3d5', 'f6d8', 'f2f4', 'f8e7', 'g1f3', 'e8g8', 'e1g1', 'b8c6', 'a1d1', 'c6a5', 'b3c3', 'a5c4', 'c3c4', 'a7a6', 'e4e5', 'c7c6', 'd5e7', 'd8e7', 'e5d6', 'e7e3', 'g1h1', 'c8e6', 'c4c2', 'e3f4', 'd6d7', 'a8d8', 'c2d3', 'f4a4', 'a2a3', 'e6d5', 'f3e5', 'a4e4', 'd3e4', 'd5e4', 'f1f4', 'e4d5', 'b2b4', 'f7f6', 'e5g6', 'f8f7', 'd1e1', 'f7d7', 'g6e7', 'g8f7', 'e7f5', 'd8e8', 'e1e8', 'f7e8', 'h2h3', 'e8f7', 'f4f1', 'd7d8', 'f1e1', 'd5e6', 'f5e3', 'd8d2']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
Danish Gambit,1-0,1800,1791,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'd7d6', 'b1c3', 'c8e6', 'c4e6', 'f7e6', 'd1b3', 'd6d5', 'b3b7', 'b8d7', 'e4d5', 'd8b8', 'b7c6', 'g8e7', 'c6e6', 'b8b6', 'g1f3', 'b6e6', 'd5e6', 'd7c5', 'c3b5', 'e8c8', 'e1g1', 'a7a6', 'b5d4', 'd8d6', 'c1f4', 'd6b6', 'f1c1', 'e7d5', 'f4g3', 'f8d6', 'g3d6', 'c7d6', 'b2b3', 'c8b7', 'c1e1', 'h8e8', 'f3g5', 'c5d3', 'e1d1', 'd3f4', 'g2g3', 'f4g6', 'g5h7', 'd5c7', 'h7g5', 'g6f8', 'd1e1', 'd6d5', 'd4f5', 'c7e6', 'g5e6', 'e8e6', 'f5g7', 'e6e1', 'a1e1', 'f8d7', 'e1e7', 'b7c6', 'g7e8', 'd7c5', 'e7c7', 'c6b5', 'e8d6', 'b5b4', 'd6f5', 'c5d3', 'c7d7', 'b6b5', 'f5e3', 'b4a3', 'd7d5', 'b5d5', 'e3d5', 'a3a2', 'b3b4', 'a2b3', 'h2h4', 'b3c4', 'h4h5', 'c4d5', 'h5h6']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
Danish Gambit,0-1,1266,1278,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'g1f3', 'c3b2', 'f1c4', 'b2a1q', 'c1b2', 'a1b2', 'b1c3', 'b2c3']","['Danish Gambit Accepted', 'Others W1']"
"Danish Gambit Accepted, Copenhagen Defense",1-0,1651,1680,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'f8b4', 'b1c3', 'd8f6', 'd1c1', 'g8e7', 'g1f3', 'e8g8', 'e1g1', 'd7d6', 'a2a3', 'b4c3', 'b2c3', 'f6g6', 'c1b2', 'c8h3', 'f3h4', 'g6e4', 'c3g7', 'e4c4', 'g2h3', 'c4h4', 'b2b7', 'b8c6', 'g7f8', 'a8f8', 'b7c7', 'h4h3', 'f1e1', 'g8h8', 'e1e3', 'f8g8', 'e3g3', 'g8g3', 'h2g3', 'h3e6', 'a1c1', 'e6d5', 'c7d7', 'h8g7', 'd7g4', 'e7g6', 'c1d1', 'd5e5', 'g4a4', 'e5c5', 'a4e4', 'd6d5', 'd1d5', 'c6e5', 'd5c5', 'f7f5', 'e4f5']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit', 'Copenhagen Defense']"
"Danish Gambit Accepted, Copenhagen Defense",1-0,2552,2545,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'f8b4', 'b1c3', 'g8f6', 'd1b3', 'b4c3', 'b2c3', 'e8g8', 'e4e5', 'd8e7', 'g1e2', 'f6e4', 'e1g1', 'b8c6', 'f1e1', 'e4c3', 'e2c3', 'c6a5', 'c3d5', 'e7c5', 'd5f6', 'g7f6', 'b3g3', 'g8h8', 'e5f6', 'f8g8', 'e1e8']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit', 'Copenhagen Defense']"
Danish Gambit,1-0,2073,2036,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'b1c3', 'd7d5', 'e4d5', 'c7c6', 'f1c4', 'c6d5', 'c4d5', 'f8e7', 'd1f3', 'g8f6', 'd5b7', 'c8b7', 'f3b7', 'b8d7', 'g1e2', 'e8g8', 'e1g1', 'd7c5', 'b7f3', 'c5d3', 'f1d1', 'd3e5', 'd1d8', 'e5f3', 'g2f3', 'f8d8', 'c1e3', 'a7a6', 'g1h1', 'e7b4', 'a1g1', 'b4c3', 'e2c3', 'a8b8', 'c3e4', 'f6e4', 'f3e4', 'b8b2', 'e3h6', 'g7g6', 'h6g5', 'd8c8', 'g5f6', 'h7h5', 'e4e5', 'b2a2', 'h1g2', 'c8c2', 'g1b1', 'c2f2', 'g2g3', 'f2g2', 'g3f3', 'a2f2', 'f3e3', 'g8h7', 'b1b8', 'h7h6', 'b8h8']","['Danish Gambit Accepted', 'Take Back Gambit']"
Danish Gambit Accepted,0-1,1266,1443,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'b8c6', 'g1f3', 'g8f6', 'e1g1', 'f8b4', 'b1c3', 'd7d6', 'f1e1', 'b4c3', 'b2c3', 'e8g8', 'e4e5', 'c6e5', 'f3e5', 'd6e5', 'c3e5', 'd8d1', 'a1d1', 'f6g4', 'e5c7', 'c8e6', 'c4e6', 'f7e6', 'e1e6', 'a8c8', 'c7d6', 'f8e8', 'e6e8', 'c8e8', 'f2f3', 'g4f6', 'a2a4', 'e8d8', 'g2g4', 'f6e8', 'd1c1', 'd8d6', 'c1c8', 'g8f7', 'c8c7', 'f7e6', 'c7b7', 'd6d7', 'b7d7', 'e6d7', 'g1g2', 'e8d6', 'g2f2', 'd6c4', 'f2g3', 'c4b2', 'f3f4', 'b2a4', 'g4g5', 'a4c5', 'h2h4', 'g7g6', 'g3g4', 'a7a6', 'f4f5', 'g6f5', 'g4f5', 'c5e6', 'h4h5', 'a6a5', 'g5g6', 'h7g6']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit']"
Danish Gambit,1-0,1896,1879,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'd7d5', 'c4d5', 'g8f6', 'd5f7', 'e8e7', 'd1d8', 'e7d8', 'b1c3', 'f8b4', 'c1d2', 'h8f8', 'f7b3', 'b4c3', 'd2c3', 'f6e4', 'c3d4', 'b8c6', 'd4e3', 'c8f5', 'g1f3', 'd8c8', 'e1g1', 'b7b6', 'b3d5', 'f8f6', 'a1c1', 'c8d7', 'f3e5', 'c6e5', 'd5a8', 'e5d3', 'f1d1', 'f6d6', 'a8e4', 'f5e4', 'c1c2', 'c7c5', 'c2d2', 'c5c4', 'f2f3', 'e4g6', 'e3f4', 'd6d5', 'f4g3', 'b6b5', 'b2b3', 'd7c6', 'b3c4', 'b5c4', 'd2c2', 'c6b5', 'd1b1', 'b5c5', 'b1b7', 'd3b4', 'c2c1', 'b4c6', 'g3f2', 'c5d6', 'f2a7', 'c6e5', 'b7g7', 'e5d3', 'a7b8', 'd6c6', 'g7c7', 'c6b5', 'c1c4', 'd3b2', 'c4c1', 'b2d3', 'c1b1', 'b5a6', 'c7a7']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
Danish Gambit,0-1,1520,1595,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'b8c6', 'd1d5', 'd8e7', 'b1c3', 'g8f6', 'd5d3', 'c6b4', 'd3e2', 'e7c5', 'e4e5', 'f6d5', 'c3d5', 'b4d5', 'g1f3', 'd5f4', 'e2e4', 'f4g2', 'e1f1', 'd7d5', 'c4d5', 'c8h3', 'e4a4', 'b7b5', 'a4e4', 'g2f4', 'f1g1', 'f4d5', 'c1e3', 'c5c6', 'a1c1', 'c6d7', 'c1d1', 'e8c8', 'e4h4', 'd5f4', 'd1d7', 'f4e2']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
Danish Gambit Accepted,0-1,1375,1402,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'b8c6', 'd1b3', 'c6e5', 'b2e5', 'd8e7', 'g1f3', 'd7d6', 'e5d4', 'e7e4', 'd4e3', 'c8e6', 'c4e6', 'e4e6', 'b3b7', 'a8d8', 'e1g1', 'f8e7', 'b7c6', 'e6d7', 'c6d7', 'd8d7', 'b1c3', 'a7a6', 'c3d5', 'c7c6', 'd5f4', 'g8f6', 'a1c1', 'c6c5', 'f1e1', 'e8g8', 'e3d2', 'e7d8', 'd2c3', 'f6g4', 'f4h5', 'f7f6', 'h5f4', 'g8f7', 'h2h3', 'g4e5', 'f3e5', 'd6e5', 'f4e2', 'h7h6', 'e2g3', 'f8e8', 'g3f5', 'd7d3', 'c3a1', 'f7g6', 'f5h4', 'g6h7', 'c1c5', 'g7g5', 'h4f5', 'd8b6', 'c5c6', 'e8b8', 'c6f6', 'd3d2', 'f6h6', 'h7g8', 'e1f1', 'b8f8', 'f5e7', 'g8g7', 'h6b6', 'g7f7', 'e7f5', 'f7g8', 'f5h6', 'g8h8', 'a1e5', 'h8h7', 'h6g4', 'f8f2']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit']"
"Danish Gambit Declined, Sorensen Defense",1-0,1959,1921,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd7d5', 'd1b3', 'd5e4', 'f1c4', 'd8e7', 'c3d4', 'e7b4', 'b1c3', 'b4b3', 'c4b3', 'c8f5', 'c1f4', 'c7c6', 'g1e2', 'b8d7', 'e1g1', 'g8f6', 'd4d5', 'e8c8', 'd5c6', 'b7c6', 'b3c4', 'f8c5', 'c4a6']",['Danish Gambit Declined: Sorensen Defense']
Danish Gambit,1-0,1382,1247,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'b1c3', 'b8c6', 'c1f4', 'f8b4', 'd1g4', 'd8f6', 'e4e5', 'c6e5', 'f4e5', 'b4c3', 'b2c3', 'f6c6', 'a1c1', 'g7g6', 'e5h8', 'g8h6', 'g4f3', 'd7d5', 'f1d3', 'c8e6', 'g1e2', 'e8c8', 'e1g1', 'd8h8', 'e2d4', 'c6d7', 'f3f4', 'c8b8']","['Danish Gambit Accepted', 'Take Back Gambit']"
Danish Gambit,0-1,1648,1622,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'f8b4', 'b1c3', 'b4c3', 'b2c3', 'g8f6', 'g1f3', 'e8g8', 'e4e5', 'd8e8', 'e1g1', 'f6g4', 'c4d3', 'd7d6', 'd3h7', 'g8h7', 'f3g5', 'h7g8', 'h2h3', 'g4e5', 'd1h5', 'c8f5', 'g2g4', 'f5g6', 'h5h4', 'f7f6', 'f1e1', 'f6g5', 'c1g5', 'e5f3', 'g1g2', 'f3h4', 'g5h4', 'e8f7', 'e1e3', 'b8d7', 'a1e1', 'd7e5', 'f2f4', 'f7d5', 'g2g3', 'e5c4', 'e3e7', 'd5d3', 'g3h2', 'a8e8', 'f4f5', 'e8e7', 'e1e7', 'g6f7', 'e7e1', 'c4d2', 'h4g5', 'd2f3', 'h2g2', 'f3e1', 'g2f2', 'e1c2', 'h3h4', 'f8e8', 'g5c1', 'f7c4', 'h4h5', 'e8e2', 'f2g1', 'd3d1']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Bb4']"
